Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Inflasi,Year,Month,DayOfWeek,IsWeekend
Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-01-01,5.28,2023,1,6,1
Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-01-01,5.28,2023,1,6,1
Coffee,5.0,2.0,10.0,Digital Wallet,Unknown,2023-01-01,5.28,2023,1,6,1
Juice,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-01-01,5.28,2023,1,6,1
Tea,5.0,1.5,7.5,Unknown,Takeaway,2023-01-01,5.28,2023,1,6,1
Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-01-01,5.28,2023,1,6,1
Cake,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-01-01,5.28,2023,1,6,1
Coffee,2.0,2.0,4.0,Cash,In-store,2023-01-01,5.28,2023,1,6,1
Salad,2.0,5.0,10.0,Digital Wallet,Takeaway,2023-01-01,5.28,2023,1,6,1
Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-01-01,5.28,2023,1,6,1
Coffee,2.0,2.0,4.0,Unknown,Unknown,2023-01-01,5.28,2023,1,6,1
Sandwich,5.0,4.0,20.0,Cash,In-store,2023-01-01,5.28,2023,1,6,1
Cake,4.0,3.0,12.0,Cash,Takeaway,2023-01-01,5.28,2023,1,6,1
Cookie,4.0,1.0,4.0,Credit Card,Unknown,2023-01-01,5.28,2023,1,6,1
Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-01-01,5.28,2023,1,6,1
Cake,2.0,3.0,6.0,Cash,Takeaway,2023-01-02,5.28,2023,1,0,0
Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-01-02,5.28,2023,1,0,0
Cake,4.0,3.0,12.0,Cash,Unknown,2023-01-02,5.28,2023,1,0,0
Salad,2.0,5.0,10.0,Unknown,Unknown,2023-01-02,5.28,2023,1,0,0
Cookie,5.0,1.0,5.0,Credit Card,Unknown,2023-01-02,5.28,2023,1,0,0
